stack_y_pro,stack_y,voting_y_pro,voting_y,名称,报告期,企业性质,是否上市,二级分类,最新评级,是否交通,总资产(亿元),货币资产(亿元),净资产(亿元),总债务(亿元),带息债务(亿元),净债务(亿元),经营活动现金流(亿元),投资活动现金流(亿元),筹资活动现金流(亿元),主营业务收入(亿元),主营业务利润(亿元),净利润(亿元),主营业务利润率(%),主营业务收入增长率(%),总资产报酬率(%),净资产回报率(%),流动比率,速动比率,存货周转率,资产负债率,短期债务/总债务,带息债务/总投入资本,货币资金/短期债务,货币资金/总债务,n_loss,whether_chouzi,whether_jin,whether_liu,whether_su,whether_d/a,whether_h/d,净利润/带息债务,总现金流(亿元),非筹资活动现金流(亿元),可供投资活动现金流(亿元),经营活动现金流/短期债务,rank_by_p1,rank_by_p2,rank_by_p3,rank_by_p4,总资产(亿元)_-1.0,总资产(亿元)_0.0,总资产(亿元)_1.0,总资产(亿元)_2.0,总资产(亿元)_3.0,总资产(亿元)_4.0,是否交通,企业性质_中央国有企业,企业性质_其他,企业性质_地方国有企业,企业性质_民营企业,是否上市_否,是否上市_是,二级分类_信息技术,二级分类_其他,二级分类_建筑业,二级分类_文化传媒,二级分类_日用品,二级分类_物流快递,二级分类_电气,二级分类_石油天然气,二级分类_节能服务,二级分类_零售
0.7659566509569464,1,0.9463742459974249,1,福建众和股份有限公司,2018-06-30,民营企业,是,其他,A+,0,19.0577974648,0.24588913849999994,-5.917683113699987,24.975480578500004,16.588714714000005,16.3428255755,-0.0651477224999999,-0.024437082600000437,-0.0060789705999999555,1.1622190551,-1.1392312927,-1.1896962641000006,-98.0221,-72.2576,-5.489200000000002,-272.067265,0.3212999999999999,0.2057,0.38290000000000024,131.05119999999997,89.21180000000007,164.22849999999997,0.012522606533844405,0.009845221505434099,1,1,1,1,1,1,1,-0.07167399913781056,-0.09566377570000029,-0.08958480510000033,-0.07122669310000074,-2.923903815743714e-05,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0.5212384008533746,1,0.9318008757208858,1,福建众和股份有限公司,2018-09-30,民营企业,是,其他,A+,0,18.747466954300002,0.22909458240000014,-6.480587298100012,25.228054252399996,21.764655622500015,21.5355610401,-0.06698045409999986,-0.03277075010000008,0.034713964199999836,1.5306801467,-1.7083310704000003,-1.7594104284000007,-111.60599999999998,-73.7453,-5.639299999999999,-269.316555,0.30300000000000016,0.19399999999999995,0.5411999999999999,134.56780000000003,90.79230000000003,147.69330000000005,0.011754058947934576,0.009080945367723192,1,0,1,1,1,1,1,-0.08080083831874618,-0.06503724000000011,-0.09975120419999994,-0.03226648990000047,-2.9242554855655307e-05,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0.7930869809815564,1,0.910819748343942,1,山东龙力生物科技股份有限公司,2018-06-30,民营企业,是,其他,AA-,0,39.472813687199974,2.2983397225,-4.34536442429998,43.81817811149999,33.0559311809,30.7575914584,1.4082402351,-0.16490918339999894,-1.3394121275000002,5.119993834900002,-1.4993374627999998,-1.5184691275,-29.28399999999999,-18.991000000000003,-1.4798000000000013,-53.44586,0.4456,0.37640000000000007,1.8589,111.00849999999997,73.90189999999998,117.82979999999985,0.07256041987837736,0.05245174084261639,1,1,1,1,1,1,1,-0.045922466819174876,-0.09608107579999997,1.2433310517000002,0.06882810759999991,0.0004348773894231952,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0.6969078848279713,1,0.9021140889011499,1,山东龙力生物科技股份有限公司,2018-09-30,民营企业,是,其他,AA-,0,38.10585206150001,1.7504427305,-5.550834731100004,43.65668679259998,40.4460637992,38.6956210687,2.9572832684,-0.3960201931000009,-3.2033683359000005,6.755068055500002,-2.5559091207999995,-2.5347435831,-37.83689999999999,-37.495099999999994,-2.1611999999999996,-64.42472500000002,0.3622000000000001,0.3065,2.4204,114.56690000000003,92.70810000000003,118.00579999999991,0.04461412225777717,0.04009563847150921,1,1,1,1,1,1,1,-0.06265423140721178,-0.6421052606000004,2.5612630753000003,-0.24608506750000014,0.000730675377469163,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0.8461732577423898,1,0.8816972497414671,1,河南中孚实业股份有限公司,2018-09-30,其他,是,其他,AA,0,247.50274964409996,13.053293316100005,58.7810094863,188.72174015780007,161.9741830005,148.9208896844,9.9615498371,-0.9867221159000001,-9.3774195884,112.80332686829996,-9.1215759559,-7.163321036900002,-8.086299999999998,21.3131,-0.6513000000000004,-11.089599999999997,0.43600000000000017,0.3094999999999999,7.1045,76.25039999999997,59.21280000000002,74.90009999999998,0.12486985766674996,0.06916687661519783,0,1,1,1,1,1,1,-0.04422234877634866,-0.40259186719999995,8.9748277212,0.5841302486999993,0.0008914343841371499,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0.8230730478234154,1,0.8756983124077723,1,现代牧业(集团)有限公司,2018-09-30,其他,否,其他,AA,0,155.13025754269995,5.3829549316,61.8635250133,93.2667325294,72.6272589145,67.2443039829,10.445173069799996,-8.8473296563,-3.3103075647000004,36.528525957899994,-1.7548251302000004,-1.7796234512,-4.803999999999999,2.444,0.5387999999999997,-3.771600000000002,0.42089999999999983,0.25229999999999997,2.7762,60.12160000000002,62.1849,54.06650000000002,0.09283802216095904,0.057715701897277816,0,1,1,1,1,1,1,-0.02450014603792748,-1.7124641512000003,1.5978434134999997,7.134865505099999,0.0018009594645420324,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.8183182259954982,1,0.8677632598303823,1,河南中孚实业股份有限公司,2018-06-30,其他,是,其他,AA,0,253.92389872579983,13.775392370500004,61.7547564347,192.16914229110006,136.2075439095,122.432151539,6.0817203811,-0.7370625504999992,-5.867769784299998,69.32606160470002,-5.3442529946,-4.179226804,-7.708900000000001,19.5049,-0.19680000000000009,-9.081000000000003,0.4687999999999999,0.3288,4.1874,75.67979999999999,56.346999999999994,70.8169999999999,0.13715226187394203,0.071683685560884,0,1,1,1,1,1,1,-0.03068053265427094,-0.5231119536999983,5.3446578306,0.21395059680000195,0.0005616580637868332,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0.8315019895128782,1,0.8627348647521218,1,营口港务集团有限公司,2018-09-30,地方国有企业,否,其他,AA+,1,1095.8572545425013,34.18542735849998,299.538090246,796.3191642964991,640.5650277522,606.3796003937,17.5409321547,-7.436862255,-31.022605108899995,67.93519880360003,-11.3130869631,-13.385682352999996,-16.652800000000003,-8.4756,0.7571999999999997,-7.5699,0.8409,0.6437999999999999,1.0739,72.66629999999998,34.54479999999998,72.19829999999999,0.14301044433714405,0.04292930384100546,0,1,1,1,1,1,1,-0.020896353702658084,-20.9185352092,10.104069899699997,-13.481672954200008,0.0006376506673049139,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
0.7366365997119649,1,0.8618670878154154,1,北方联合电力有限责任公司,2018-06-30,中央国有企业,否,其他,AA+,0,739.2380658358996,15.5498320592,116.2028496373,623.0352161985998,505.6473671789,490.0975351197,20.0664811488,-6.956057490000001,-27.214619976,102.55159059440005,-2.1788541590000006,-2.8890332774000003,-2.124600000000002,18.3089,2.4685999999999995,-14.357599999999998,0.22839999999999994,0.2077,13.776999999999997,84.2807,47.516999999999996,90.53479999999998,0.06253221139115173,0.02495819121441656,0,1,1,1,1,1,1,-0.005713420717111534,-14.104196317200001,13.110423658800002,-7.148138827200001,0.0006778125608193057,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.7212722427889732,1,0.8188788156715328,1,天马轴承集团股份有限公司,2018-06-30,民营企业,是,其他,AA,0,85.75241443939997,0.802230072,48.3533381281,37.39907631130002,2.9659797081999955,2.163749636200002,-3.6078061242999997,1.5140212134000004,-0.8057640819,8.4800096663,-1.0874297416999998,-0.9797748042999994,-12.823399999999996,-31.450900000000004,0.2757999999999998,-4.232,2.6701,1.9098000000000002,0.7074,43.612899999999975,39.7889,6.027200000000001,0.08426391107796083,0.021450531700902165,0,1,1,0,0,1,1,-0.3292276495032325,-2.8995489928000007,-2.0937849109,-4.413570206200002,-0.002424489918341296,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
