二级分类,报告期,总资产(亿元),货币资产(亿元),净资产(亿元),总债务(亿元),带息债务(亿元),净债务(亿元),经营活动现金流(亿元),投资活动现金流(亿元),筹资活动现金流(亿元),主营业务收入(亿元),主营业务利润(亿元),EBITDA(亿元),净利润(亿元),主营业务利润率(%),主营业务收入增长率(%),总资产报酬率(%),净资产回报率(%),EBITDA/营业总收入,经营性现金流/EBITDA,流动比率,速动比率,存货周转率,资产负债率,短期债务/总债务,带息债务/总投入资本,货币资金/短期债务,货币资金/总债务,获息倍数,EBITDA/带息债务,123
专业技术服务,2007-12-31,19.147379864599998,4.0557434165,8.5086959233,7.3489072525,2.44621942085,-1.60952399565,1.6545212154500002,-0.6034033254,0.003324428799999994,17.98187049055,1.4145861141,2.4520384905,1.21207669425,12.17375,31.0358,10.007950000000001,11.84195,17.294262228541704,0.8194650815454848,2.0171,1.5860500000000002,6.9575,39.752449999999996,69.85705,20.9613,1.0626250073654142,0.6142041286735156,45.335049999999995,114.7229026782669,2
专业技术服务,2008-12-31,14.184733796466666,3.3532373887666664,7.0123725923,4.6842342465,1.4881009352666668,-1.8651364535,1.9707811572333336,-1.0760177915000002,-0.30695966313333334,14.413778881499999,1.5510489265666665,2.1867990628666667,1.4341230269,23.863133333333334,23.24435,15.829233333333335,22.189166666666665,31.246171698655434,0.9166124545358919,1.6836666666666666,1.3202333333333334,6.0863,37.935399999999994,78.08793333333334,23.30073333333333,0.9305468412938621,0.6245938054406518,13.715900000000001,191.1663455758176,3
专业技术服务,2009-12-31,13.687833338139999,2.61311852812,6.61001778326,5.36264852354,1.8591964393200002,-0.7539220888,0.16190504720000007,-1.4754105419999999,1.5299717012599998,9.86814233398,0.9275408805199999,1.5721260267750001,0.8845179184,19.27328,0.3177666666666668,10.71428,15.749500000000001,36.27755471147964,0.8026477379097932,1.29942,0.9386800000000001,3.723133333333333,47.845060000000004,76.93306,21.75384,0.5961437697447904,0.38493083832519875,7.4877,170.29643937015834,5
专业技术服务,2010-12-31,19.31822476224,3.9112394572999998,8.301649969260001,9.00787667868,4.420159870139999,0.5089204128399999,1.35159804222,-2.64688790474,2.5633906345999997,13.41213524648,1.17850229636,1.9188271039,1.0855158286600002,20.62572,40.16176,10.5868,16.915460000000003,38.41854951302801,1.1384015391250766,1.6884599999999998,1.29424,4.175833333333333,51.40158,64.24763999999999,35.4111,0.8986914984140977,0.3801389987000547,7.1282499999999995,87.76680333641211,5
专业技术服务,2011-12-31,23.18330911396667,4.807989226366666,9.989237355800002,10.623094524466666,5.4148089777166675,0.6068197513500001,1.4044094712333333,-2.790106710016667,2.894179040233334,18.1867409222,2.18727813635,3.513957300919999,2.07975607135,21.047383333333332,39.99732,14.031216666666667,17.5913,34.2442740891118,0.6247803081653499,1.9902166666666667,1.5739,4.303974999999999,44.1449,72.61533333333334,31.344466666666666,1.0626151591735444,0.46154835661522414,11.767459999999998,77.12901556398279,6
专业技术服务,2012-12-31,27.809383081766672,5.892225670799999,12.390748193766667,12.597161330383331,6.999266517133333,1.1070408463333332,2.8130323479166663,-3.7852278888,2.0177402487333334,16.565478243916665,1.9447559321999999,2.94164190245,1.80712188405,20.137033333333335,10.02715,11.806066666666666,15.482700000000001,33.35866685266514,0.8513203861191826,1.8986333333333334,1.5172833333333333,4.0418,46.51473333333333,61.1925,36.28231666666667,1.0784424382847593,0.4111575647938574,10.5717,51.69585323488938,6
专业技术服务,2013-12-31,30.896497970733332,5.6496331666,13.675339089866668,13.815328556633334,8.443714496533332,2.794081329933333,1.9658180738666668,-2.928733305416667,0.8042275751333333,15.751821004216666,1.7923856560833331,3.068163253666667,1.8067691848666667,17.071516666666668,9.784583333333332,9.670966666666667,13.39015,30.509840857528946,0.5578339307033783,1.6875333333333333,1.2778166666666668,61.253060000000005,47.334466666666664,56.9117,39.92419999999999,0.8890194743690606,0.36682270897993274,7.6476,39.842442548323255,6
专业技术服务,2014-12-31,37.17923139815,6.500298549233334,15.806297661483335,16.954441665166666,9.28280422955,2.782505680316667,2.079530794283333,-2.8877777604333335,1.6351182160333335,16.977867932916666,1.6929532507333331,3.551543409783333,1.9301130154333332,14.32611666666667,6.498366666666667,9.506133333333333,12.580616666666666,30.966200594308656,0.5783964570942922,1.5329,1.1991666666666665,49.92659999999999,48.81815,62.34324999999999,38.67581666666666,0.7411083175969045,0.33223404378343663,6.799839999999999,44.1109251683568,6
专业技术服务,2015-12-31,42.550016113249995,7.4116371819666655,19.78524360845,17.8632102112,8.3409655175,0.9293283355333332,1.8264411412666668,-1.2750889704833333,0.3682886514500003,19.028385800433334,1.803961564283333,3.2032725804999997,1.5996711708833333,11.210716666666668,8.105466666666667,7.489716666666666,8.974883333333333,27.919075978933833,0.44365989480828166,1.7553833333333333,1.3977333333333333,36.695119999999996,46.08568333333333,65.98915,34.27506666666667,0.91723301625532,0.4090039399018867,7.8419799999999995,52.46499854533565,6
专业技术服务,2016-12-31,49.288308179666664,8.004316600683334,23.512760720533333,20.101050318083335,8.623529066,0.6192124653166665,2.852890029716667,-4.935090100766668,2.6553100909833334,23.98809358871667,2.3399459588333333,4.008523377866667,2.0627484941,14.764866666666668,26.193483333333337,7.948016666666667,9.786483333333333,30.78699437867463,0.5460493917074973,1.4976500000000001,1.1874999999999998,44.91696,42.837250000000004,75.86636666666665,28.87633333333333,0.7313476481789366,0.39805995782729026,12.79945,58.07278763916964,6
