,,二级分类,报告期,number,总资产(亿元),货币资产(亿元),净资产(亿元),总债务(亿元),带息债务(亿元),净债务(亿元),经营活动现金流(亿元),投资活动现金流(亿元),筹资活动现金流(亿元),主营业务收入(亿元),主营业务利润(亿元),净利润(亿元),主营业务利润率(%),主营业务收入增长率(%),总资产报酬率(%),净资产回报率(%),流动比率,速动比率,存货周转率,资产负债率,短期债务/总债务,带息债务/总投入资本,货币资金/短期债务,货币资金/总债务
0,0,个人电子,2003-12-31,4,180.28141129438848,17.032449836102547,80.17027233210207,88.00892955481831,55.612779985009446,38.5803301489069,-1.3741632778029222,-3.9630208045004474,7.7178445014684725,190.91577427202515,6.321433255048704,6.10533414224489,2.736711496331065,17.697536983849115,4.674915723013622,12.066757873029688,1.782312533103703,1.1289876675010866,3.3556649015612696,51.80109408735458,94.00411105341634,49.39375715136896,0.570612027492731,0.19241146272141385
1,0,个人电子,2004-12-31,4,245.82553784389518,48.31242700064343,65.24639825005335,153.6227841884085,73.70463920704928,25.392212206405844,-5.95362939747208,-1.348031669995409,35.30977384234267,293.0193472893241,-10.776464511496433,-11.172692978034949,-10.395982365573735,20.74297717756102,-5.614929040860927,-6.8545942114233895,1.578853841683723,0.9906501120854925,4.465330831776332,59.19760780990598,89.23396552931658,53.16452874563437,0.4719624078448205,0.31438417358492426
2,0,互联网,2003-12-31,2,16.11750671860967,4.202713631895921,8.557127410375962,6.8031924377948485,6.179992384933156,1.9772787530372362,0.36439070227475956,-1.2631784490472688,2.173381456969631,7.911124328571325,0.7429391264226235,0.7119556642978218,9.393718522242292,18.725658892123814,5.301298733994703,8.27545627325345,1.5065879324318996,1.2506291835946404,4.348939469283559,42.46925509496808,88.5556748025081,41.38909961356292,0.6958955198991248,0.5947974413409889
3,0,互联网,2004-12-31,2,18.238813268128904,3.5372610012971624,9.111420643801031,8.387023045742236,7.286329458978105,3.749068457680942,0.19608993470794528,-0.6587229171852195,-0.16059529419177548,11.408051631186712,0.6183842062324041,0.6269403765866342,5.76494107295965,44.64575197617581,5.649934266184228,7.987820538549741,1.5415585191964294,1.1478659264549074,4.393671970894082,46.3363769932633,86.54127155980953,43.448199276432526,0.49593161519911244,0.4095503017902817
4,0,交通运输,2003-12-31,58,5858.922185639198,547.1939642586561,3462.0635124147952,2382.6048242515094,1457.5194163235853,910.3254520649291,10.102958185347056,-22.831543862810527,14.927218054360784,1093.6984800333569,279.1496724209134,10.690205388256212,21.701718404707208,10.82927053161555,4.225129458753487,0.6110421326450766,1.0278707550465715,0.9461681869845252,17.0580439524414,47.357602680884916,46.81119279946062,40.93476810052846,0.570992231311098,0.26831159730316884
5,0,交通运输,2004-12-31,69,6303.090747204992,492.6170367048962,3793.5623793111254,2490.172214986307,1525.4605007621358,1032.8426922308554,16.90398928517837,-25.575191115233263,14.30954473916154,1756.064237488051,293.3510699033095,26.71614529424492,18.323811472776477,55.6971311454448,5.643686476318334,6.608944367852393,1.0282235814617415,0.9437866783853055,34.062609177118084,48.18371224736827,46.467576960475235,42.16288097170748,0.51162844443061,0.23533593238530695
6,0,信息技术,2003-12-31,8,54.99464960152199,10.526231867390388,20.997118865890233,29.204211552984876,14.94628804770146,4.4200561803110725,1.3807469256277831,-2.8219144430138323,3.9880508578474205,48.67155684276686,1.198526697890205,0.9904573731875725,-20.94222992226249,15.30014991241701,1.5766172714075668,-12.739675692771758,1.4815630764718186,1.0715593178161393,3.1729365935822105,55.06824424599985,93.39491799999898,42.06508946250282,0.46520344826230164,0.40162131468783535
7,0,信息技术,2004-12-31,9,62.604054328925876,9.270199139249218,20.72321496759302,37.782860851595245,19.673104546847117,10.402905407597906,0.8545908814777787,-5.674448157578959,4.184780005360006,56.348598974319415,1.5037693964012684,1.289560773781947,3.6069023539557215,34.73983048318897,4.67666015162792,4.446552430874741,1.2934505030132482,0.8841816235342084,3.5728397552662137,60.43316544731309,93.886303628111,46.63819127991094,0.39287290359869204,0.32778650369991186
8,0,光伏,2004-12-31,1,0.464539885,0.1460434625,0.3116705396,0.1528693454,0.0,-0.1460434625,0.09218624710000001,-0.03503179,0.025,0.6006795089,0.1643716278,0.1644977172,27.3643,0.0,35.2198,52.7794,2.5858,1.6743,2.8087,32.9077,100.0,0.0,0.955348255844628,0.955348255844628
9,0,公用事业,2003-12-31,65,5129.203155238921,635.4098339938514,1820.1075287978551,3217.8541422940534,2363.411271889846,1728.0014378959943,488.18657772266727,-521.9594865157633,5.457291207458058,2340.957611424343,40.877559758109406,25.11781845523375,8.277634926628709,17.36285775873415,4.0845297905223985,2.8476811987152053,1.0474827976835162,0.9895480847869342,31.23597391863827,59.50913017655209,41.39591369751196,57.77554949473237,0.578217507022065,0.2067375727230367
10,0,公用事业,2004-12-31,74,4979.1748637685205,560.6342516749456,1733.212119843294,3147.01905143603,2272.2401241366115,1711.605872461666,471.51493131072226,-485.15256391886385,8.332229479638189,2560.6193836214875,48.398256467646405,38.060107693664,9.386941054200179,33.05543892389257,4.284397130441583,3.766464980675422,0.8985763835153767,0.838225185791616,31.553849526678782,60.88794418751953,42.59326032350257,59.58393751666539,0.48830803113505145,0.16927731395821252
